Game,Date,Dennis,Fabiano,Luke,Average ,Best of the Month
Clank! Legacy: Acquisitions Incorporated,3-Aug-2022,8,,9,8.5,
Destinies,10-Aug-2022,6,,7,6.5,
Rajas of the Ganges,11-Aug-2022,9,,7.5,8.3,
Dog Lover,11-Aug-2022,6.5,,6.5,6.5,
"Crew: Mission Deep Sea, The ",13-Aug-2022,7,,8.5,7.8,
New York Zoo,13-Aug-2022,6.5,,6.5,6.5,
Creature Comforts,13-Aug-2022,6,,6.5,6.3,
Meeple Circus,13-Aug-2022,8,,4,6.0,
Destinies,24-Aug-2022,6,,7,6.5,
Wonderland’s War,25-Aug-2022,7,,7,7.0,
Destinies,31-Aug-2022,6,,7,6.5,
Destinies,7-Sep-2022,6,5,5.5,5.5,
Planet Unknown,13-Sep-2022,8.5,7.5,8,8.0,
Sequoia,14-Sep-2022,7,6.5,5,6.2,
Destinies,14-Sep-2022,6,5,5.5,5.5,
Pandemic Legacy: Season 1,20-Sep-2022,8,7.5,7.5,7.7,
Shamans,20-Sep-2022,6.5,6,7,6.5,
"Initiative, The ",21-Sep-2022,6.5,7,7.3,6.9,
Fort,21-Sep-2022,6.5,7,6,6.5,
Pandemic Legacy: Season 1,28-Sep-2022,8,7.5,7.5,7.7,
"Initiative, The ",28-Sep-2022,6.5,7,7.3,6.9,
Space Base: Shy Pluto,29-Sep-2022,8.5,7.5,8,8.0,
Akropolis,29-Sep-2022,6.5,7,7.5,7.0,
Pandemic Legacy: Season 1,4-Oct-2022,7.5,7.5,7.5,7.5,
"Initiative, The ",4-Oct-2022,7,7.5,7.3,7.3,
Dandelions,4-Oct-2022,6,6.5,6,6.2,
Concordia,5-Oct-2022,6.5,8,7.5,7.3,
So Clover,8-Oct-2022,8,8.5,8.5,8.3,
Letter Jam,8-Oct-2022,7,8,7.4,7.5,
Flamecraft,8-Oct-2022,8.5,7,7.1,7.5,
King of New York,8-Oct-2022,7,7,6.2,6.7,
Pandemic Legacy: Season 1,25-Oct-2022,7.5,7.5,7.5,7.5,
"Initiative, The ",25-Oct-2022,7,7.5,7.3,7.3,
Space Base: Shy Pluto,26-Oct-2022,8.5,7.5,8,8.0,
Oceans,26-Oct-2022,7.5,7,7,7.2,
Pandemic Legacy: Season 1,2-Nov-2022,7.5,7,7.5,7.3,
"Initiative, The ",2-Nov-2022,7.5,7,7.3,7.3,
Orléans,3-Nov-2022,8.5,6.5,8.5,7.8,
Pandemic Legacy: Season 1,8-Nov-2022,7.5,7,7.5,7.3,
"Initiative, The ",8-Nov-2022,7.5,7,7.3,7.3,
Fallout Shelter: The Board Game,9-Nov-2022,7.5,6,7.4,7.0,
Lions of Lydia,9-Nov-2022,7,4,6.5,5.8,
Letter Jam,12-Nov-2022,7.5,8,7.4,7.6,
Long Shot: The Dice Game,12-Nov-2022,6.5,7,7.1,6.9,
Transmissions,12-Nov-2022,7.5,7,7,7.2,
Phantom Ink,12-Nov-2022,6.5,6.5,6.7,6.6,
Fun Facts,12-Nov-2022,6.5,6.5,5.7,6.2,
Pandemic Legacy: Season 1,15-Nov-2022,7.5,7,7.5,7.3,
"Initiative, The ",15-Nov-2022,7.5,7,7.3,7.3,
Grand Austria Hotel,16-Nov-2022,7.5,7.5,8.3,7.8,
Pandemic Legacy: Season 1,29-Nov-2022,7.5,7,7.5,7.3,
"Initiative, The ",29-Nov-2022,7.5,7,7.3,7.3,
"Initiative, The ",29-Nov-2022,7.5,7,7.3,7.3,
Teotihuacan: City of Gods,30-Nov-2022,7.5,7.5,8.5,7.8,
7 Wonders,8-Dec-2022,7,10,9,8.7,
Istanbul,8-Dec-2022,9,8,8,8.3,
Pandemic Legacy: Season 1,13-Dec-2022,8,7,8,7.7,
"Initiative, The ",13-Dec-2022,7,7,7.3,7.1,
Pulsar 2849,14-Dec-2022,8,6,7.7,7.2,
Monikers,17-Dec-2022,10,10,5,8.3,Monikers (44912)
Rear Window,17-Dec-2022,5,8,7.4,6.8,
Mystic Paths,17-Dec-2022,8,7.5,7.7,7.7,
Green Team Wins,17-Dec-2022,7,7.5,7.3,7.3,
Ready Set Bet,17-Dec-2022,6,7.5,7.3,6.9,
Pandemic Legacy: Season 1,20-Dec-2022,8,7,8,7.7,
"Initiative, The ",20-Dec-2022,7,7,7.3,7.1,
"Initiative, The ",20-Dec-2022,7,7,7.3,7.1,
Wasteland Express Delivery Service,22-Dec-2022,8,8,7.8,7.9,
Astra,22-Dec-2022,6,7.5,7.3,6.9,
Pandemic Legacy: Season 1,27-Dec-2022,8,7,8,7.7,
"Initiative, The ",27-Dec-2022,7,7,7.3,7.1,
